Players,Opening,Result,Moves,Year
Paul Morphy (2690) Rhodes H,"1. e4 e5 2. f4 Bc5 3. Nf3 Nc6 King's Gambit Declined: Classical Variation, 3.Nf3
                          ",1-0,24,1858
Paul Morphy (2690) Salmon George,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans, Hein Countergambit
                          ",1-0,49,1858
Paul Morphy (2690) Wils Adrian,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 Sicilian Defense: Taimanov Variation
                          ",1-0,37,1858
Paul Morphy (2690) Kipping J,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Slow Variation, Waller Attack
                          ",1-0,30,1858
Paul Morphy (2690) Johann Lowenthal (2510),"1. e4 e6 2. d4 d5 3. exd5 exd5 French Defense: Exchange Variation, 3...exd5 4.Bd3 Bd6 5.Nf3 Nf6
                          ",1-0,34,1858
Paul Morphy (2690) John Owen (2380),"1. e4 b6 2. d4 Bb7 3. Bd3 e6 King's Pawn Opening: Owen's Defense, 2.d4 Bb7 3.Bd3
                          ",1-0,35,1858
Paul Morphy (2690) Amateur,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, 6.d4 exd4 7.cxd4
                          ",1-0,33,1858
Paul Morphy (2690) Thomas Wilson Barnes (2410),"1. e4 e5 2. Bc4 Nf6 3. Nf3 Nxe4 Vienna Game: Frankenstein-Dracula, Boden-Kieseritzky Gambit
                          ",1-0,38,1858
Paul Morphy (2690) Henry E Bird (2440),"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Kieseritzky, Berlin, Anderssen Defense, 8.d4 Nh5
                          ",1-0,18,1858
Paul Morphy (2690) Henry E Bird (2440),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Main Line, 9.d5 Na5
                          ",1-0,31,1858
Paul Morphy (2690) Samuel S Boden (2470),"1. e4 e5 2. f4 Bc5 3. Nf3 d6 King's Gambit Declined: Classical Variation, 3.Nf3 d6 4.c3 Bg4
                          ",1-0,35,1858
Paul Morphy (2690) Samuel S Boden (2470),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Gambit Declined, 5.a4 a6
                          ",1-0,53,1858
Paul Morphy (2690) Samuel S Boden (2470),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 Italian Game: Knight Attack, Polerio, Kieseritzky Variation, 6...h6 7.Nf3
                          ",1-0,50,1858
Paul Morphy (2690) Hampton H,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Morphy Attack
                          ",1-0,17,1858
Paul Morphy (2690) Johann Lowenthal (2510),"1. e4 e5 2. f4 Bc5 3. Nf3 d6 King's Gambit Declined: Classical Variation, 3.Nf3 d6 4.c3 Bg4
                          ",1-0,28,1858
Paul Morphy (2690) Johann Lowenthal (2510),"1. e4 e5 2. f4 Bc5 3. Nf3 d6 King's Gambit Declined: Classical Variation, 3.Nf3 d6 4.c3 Bg4
                          ",1-0,31,1858
Paul Morphy (2690) Johann Lowenthal (2510),"1. e4 c5 2. d4 cxd4 3. Nf3 Nc6 Sicilian Defense: Open, Löwenthal Variation
                          ",1-0,29,1858
Paul Morphy (2690) Johann Lowenthal (2510),"1. e4 e6 2. d4 d5 3. exd5 exd5 French Defense: Exchange Variation, 3...exd5 4.Nf3 Nf6 5.Bd3
                          ",1-0,25,1858
Paul Morphy (2690) Johann Lowenthal (2510),"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 Ruy López Opening: Morphy Defense, Mackenzie, Center Attack
                          ",1-0,49,1858
Paul Morphy (2690) Medley George W,"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Kieseritzky, Berlin, Anderssen Defense, 8.d4 Nh5
                          ",1-0,26,1858
Paul Morphy (2690) Howard Staunton (2520),"1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 Scandinavian Defense: Mieses-Kotrč Variation, 3.Nc3 Qd8
                          ",1-0,52,1858
Paul Morphy (2690) Amateur,"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Muzio, Sarratt Defense, 7.e5 Qxe5 8.d3 Bh6 9.Nc3
                          ",1-0,28,1858
Paul Morphy (2690) Amateur,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Morphy Attack, 9...Na5
                          ",1-0,35,1858
Paul Morphy (2690) Amateur,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Slow Variation, Waller Attack
                          ",1-0,29,1858
Paul Morphy (2690) Amateur,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Pierce, Compromised Defense
                          ",1-0,27,1858
Paul Morphy (2690) Amateur,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Pierce Defense, 7.O-O
                          ",1-0,33,1858
Paul Morphy (2690) Amateur,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 Italian Game: Two Knights, Perreux Variation
                          ",1-0,19,1858
